gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.989375086379,0.891744620919,0.718852799606,0.54529399157,0.418046015207,0.272132468768,1,1,2250,Gonzaga,96.51,West,1,0
mens,2021-03-14,0,1.0,0.977841154084,0.794160798847,0.640277182795,0.448611273743,0.276564489051,0.153729874091,1,1,356,Illinois,94.02,Midwest,1,64
mens,2021-03-14,0,1.0,0.981676727221,0.718368760248,0.568088729588,0.404924436783,0.240206119275,0.132030599476,1,1,239,Baylor,93.63,South,1,96
mens,2021-03-14,0,1.0,0.943964484445,0.706352114779,0.467745932054,0.178371688422,0.110842311176,0.055510625007,1,1,2294,Iowa,90.82,West,2,28
mens,2021-03-14,0,1.0,0.961958430698,0.705065091782,0.459175512608,0.212424681001,0.10770466902,0.049234461266,1,1,248,Houston,90.22,Midwest,2,92
mens,2021-03-14,0,1.0,0.968465914775,0.656091166245,0.412128843401,0.238633835072,0.090264124252,0.041528698425,1,1,130,Michigan,89.56,East,1,32
mens,2021-03-14,0,1.0,0.944168273377,0.702549222995,0.434481024413,0.190545168901,0.088348765678,0.03831268155,1,1,194,Ohio State,89.39,South,2,124
mens,2021-03-14,0,1.0,0.952682338706,0.599770249334,0.371361581267,0.201965087804,0.073483203843,0.032752788127,1,1,333,Alabama,88.93,East,2,60
mens,2021-03-14,0,1.0,0.864144591476,0.509287632916,0.132758632613,0.069563825333,0.038606303585,0.017011524901,1,1,258,Virginia,88.06,West,4,12
mens,2021-03-14,0,1.0,0.879322516866,0.531016335314,0.234173865923,0.069030132929,0.03646650774,0.015225005889,1,1,2305,Kansas,87.39,West,3,20
mens,2021-03-14,0,1.0,0.845812232739,0.490259600629,0.228447413033,0.109980755876,0.034726981142,0.013770683624,1,1,251,Texas,86.74,East,3,52
mens,2021-03-14,0,1.0,0.829233071893,0.469681714738,0.214054968565,0.107353391345,0.034119312145,0.013603298892,1,1,52,Florida State,86.75,East,4,44
mens,2021-03-14,0,1.0,0.905544244794,0.496500064496,0.213966163755,0.077870406154,0.032077935825,0.012009867467,1,1,277,West Virginia,86.61,Midwest,3,84
mens,2021-03-14,0,1.0,0.55405787378,0.163533226816,0.105390268974,0.058847802789,0.026235219323,0.010964253352,1,1,275,Wisconsin,87.32,South,9,102
mens,2021-03-14,0,1.0,0.805059606419,0.497350293451,0.14592499078,0.072819656629,0.028758188557,0.010730964295,1,1,2509,Purdue,86.46,South,4,108
mens,2021-03-14,0,1.0,0.818670457985,0.413022838139,0.098386730649,0.048609683504,0.025653333311,0.010698832294,1,1,156,Creighton,87.0,West,5,8
mens,2021-03-14,0,1.0,0.670827851408,0.381127725745,0.184331052361,0.06921329873,0.028018453248,0.010698712833,1,1,2641,Texas Tech,86.43,South,6,112
mens,2021-03-14,0,1.0,0.758247513763,0.401563620652,0.189425943136,0.06924633506,0.027381635223,0.010229361536,1,1,8,Arkansas,86.26,South,3,116
mens,2021-03-14,0,1.0,0.695096338349,0.369595958832,0.163187170053,0.079707508166,0.024566365038,0.00954729071,1,1,38,Colorado,86.02,East,5,40
mens,2021-03-14,0,1.0,0.744383039187,0.442064473559,0.122599675916,0.056227418365,0.022222888219,0.007999979355,1,1,2633,Tennessee,85.78,Midwest,5,72
mens,2021-03-14,0,1.0,0.728381921039,0.355547660337,0.14221691117,0.037698162795,0.018538769686,0.007168697542,1,1,30,Southern California,85.76,West,6,16
mens,2021-03-14,0,1.0,0.610648021986,0.318731754698,0.13399097748,0.047604716102,0.019202167096,0.007047218793,1,1,21,San Diego State,85.59,Midwest,6,80
mens,2021-03-14,0,1.0,0.539277899269,0.220067947099,0.116058174956,0.053342563876,0.015987557871,0.006070007766,1,1,41,Connecticut,85.25,East,7,56
mens,2021-03-14,0,1.0,0.44594212622,0.116800009035,0.071035944303,0.037188055338,0.015456650652,0.006049174025,1,1,153,North Carolina,86.09,South,8,100
mens,2021-03-14,0,1.0,0.599581315007,0.220744627411,0.112773323935,0.053085243807,0.015681845037,0.005882247298,1,1,99,Louisiana State,85.16,East,8,36
mens,2021-03-14,0,1.0,0.800046644273,0.406917281176,0.102061659092,0.043499137027,0.015998865804,0.00538123413,1,1,197,Oklahoma State,84.88,Midwest,4,76
mens,2021-03-14,0,1.0,0.752283826747,0.364728877816,0.091396952381,0.041021875203,0.014501860197,0.004882082895,1,1,222,Villanova,84.74,South,5,104
mens,2021-03-14,0,1.0,0.540770253482,0.262149576084,0.10793883499,0.0466684461,0.013073202898,0.004689715896,1,1,252,Brigham Young,84.52,East,6,48
mens,2021-03-14,0,1.0,0.552225497874,0.118309524267,0.067937721507,0.031000042761,0.012190925725,0.004367817108,1,1,2350,Loyola (IL),85.08,Midwest,8,68
mens,2021-03-14,0,1.0,0.460722100731,0.174978190241,0.08740502138,0.038014698805,0.01071833516,0.003866031664,1,1,120,Maryland,84.35,East,10,58
mens,2021-03-14,0,1.0,0.614113072454,0.189261213771,0.090681438303,0.022211838735,0.010339518047,0.003773884141,1,1,2483,Oregon,84.59,West,7,24
mens,2021-03-14,0,1.0,0.576359027047,0.17835632198,0.08461769398,0.02693368691,0.009864234203,0.003304623065,1,1,164,Rutgers,84.12,Midwest,10,90
mens,2021-03-14,0,1.0,0.447774502126,0.084703345033,0.045447269154,0.019202204765,0.007002900765,0.002336700422,1,1,59,Georgia Tech,83.89,Midwest,9,70
mens,2021-03-14,0,1.0,0.579493842005,0.177481909923,0.07609545359,0.021809596544,0.006959410147,0.002130738416,1,1,57,Florida,83.03,South,7,120
mens,2021-03-14,0,1.0,0.389351978014,0.17040586663,0.059145727438,0.01748963509,0.00600145697,0.001891068286,1,1,183,Syracuse,83.03,Midwest,11,82
mens,2021-03-14,1,0.542842581502,0.257683892136,0.120430911382,0.047681639038,0.01992636712,0.005378769955,0.001870018391,0,1,127,Michigan State,82.87,East,11a,50
mens,2021-03-14,0,1.0,0.400418684993,0.120238165748,0.052837921208,0.02148993239,0.005395210764,0.001763670263,1,1,179,St. Bonaventure,82.86,East,9,38
mens,2021-03-14,0,1.0,0.568346947771,0.065449478091,0.027232072252,0.010610467892,0.004568940157,0.001538493235,1,1,201,Oklahoma,83.41,West,8,4
mens,2021-03-14,0,1.0,0.329172148592,0.142082178486,0.051800631655,0.01446738612,0.004511702857,0.001352258198,1,1,328,Utah State,82.37,South,11,114
mens,2021-03-14,0,1.0,0.423640972953,0.111317794304,0.046694736679,0.013023974403,0.004242729795,0.001273235627,1,1,228,Clemson,82.36,Midwest,7,88
mens,2021-03-14,1,0.457157418498,0.201545854382,0.088442393252,0.032743562266,0.012908930827,0.003272362703,0.001078574915,0,1,26,UCLA,81.89,East,11b,51
mens,2021-03-14,0,1.0,0.385886927546,0.092845832511,0.03688262798,0.007227715074,0.002860357907,0.000883832066,1,1,2670,Virginia Commonwealth,81.94,West,10,26
mens,2021-03-14,0,1.0,0.304903661651,0.115181388877,0.035230738558,0.01262785568,0.002767995724,0.000805214173,1,1,46,Georgetown,81.32,East,12,42
mens,2021-03-14,0,1.0,0.420506157995,0.108784986171,0.040613646312,0.010041870383,0.002809105535,0.000761309424,1,1,259,Virginia Tech,81.2,South,10,122
mens,2021-03-14,0,1.0,0.431653052229,0.041414590003,0.015216169586,0.005274715788,0.002053520039,0.000624107131,1,1,142,Missouri,81.84,West,9,6
mens,2021-03-14,1,0.600621019778,0.178267897257,0.059700157183,0.016109859837,0.002830966973,0.001031171291,0.000293138562,0,1,2724,Wichita State,79.89,West,11b,19
mens,2021-03-14,0,1.0,0.241752486237,0.075226475116,0.021547684316,0.00471113857,0.001179915676,0.000288590734,1,1,2142,Colgate,79.74,South,14,118
mens,2021-03-14,0,1.0,0.255616960813,0.09974641718,0.015477714368,0.004533572812,0.001163376097,0.000279193131,1,1,204,Oregon State,79.69,Midwest,12,74
mens,2021-03-14,0,1.0,0.247716173253,0.070806061809,0.009272320682,0.002570485165,0.000561547324,0.000120944175,1,1,2737,Winthrop,78.41,South,12,106
mens,2021-03-14,0,1.0,0.194940393581,0.067114766924,0.008721783535,0.002403152659,0.000521863225,0.000111772394,1,1,249,North Texas,78.37,South,13,110
mens,2021-03-14,0,1.0,0.170766928107,0.045540937554,0.009498901878,0.002440330404,0.000378937635,8.1359473e-05,1,1,2430,North Carolina-Greensboro,77.74,East,13,46
mens,2021-03-14,0,1.0,0.181329542015,0.043880212742,0.00440421205,0.001124037434,0.000334750252,7.7963558e-05,1,1,2540,UC-Santa Barbara,78.4,West,12,10
mens,2021-03-14,1,0.399378980222,0.093350181704,0.025809800851,0.00571688575,0.000822051574,0.000255595885,6.2105497e-05,0,1,2181,Drake,77.57,West,11a,18
mens,2021-03-14,0,1.0,0.154187767261,0.038717518653,0.007682762872,0.001745948855,0.000251060496,5.0307486e-05,1,1,2000,Abilene Christian,77.04,East,14,54
mens,2021-03-14,0,1.0,0.199953355727,0.051271828085,0.005731149829,0.001273263508,0.000251338727,4.7144033e-05,1,1,2335,Liberty,76.98,Midwest,13,78
mens,2021-03-14,0,1.0,0.135855408524,0.033809316202,0.003018663893,0.000697016189,0.000189903471,4.0535619e-05,1,1,195,Ohio,77.51,West,13,14
mens,2021-03-14,0,1.0,0.120677483134,0.027926046315,0.004373566419,0.000443825501,0.000103236341,1.8888051e-05,1,1,331,Eastern Washington,76.07,West,14,22
mens,2021-03-14,0,1.0,0.056035515555,0.01154083894,0.002098912565,0.000177377336,3.5199179e-05,5.518857e-06,1,1,2253,Grand Canyon,74.71,West,15,30
mens,2021-03-14,0,1.0,0.094455755206,0.014362314176,0.001750208561,0.000191879615,2.644206e-05,3.528679e-06,1,1,2413,Morehead State,73.72,Midwest,14,86
mens,2021-03-14,0,1.0,0.055831726623,0.01118388091,0.001704564217,0.000170757647,2.077102e-05,2.576588e-06,1,1,198,Oral Roberts,73.26,South,15,126
mens,2021-03-14,0,1.0,0.022158845916,0.002826331853,0.000467627338,5.8964141e-05,6.779392e-06,7.60919e-07,1,1,2182,Drexel,72.43,Midwest,16,66
mens,2021-03-14,0,1.0,0.047317661294,0.005183613326,0.000681010199,8.1113081e-05,6.13223e-06,6.7868e-07,1,1,314,Iona,71.81,East,15,62
mens,2021-03-14,0,1.0,0.038041569302,0.005260791933,0.0006589795,5.5143603e-05,5.874368e-06,6.12794e-07,1,1,325,Cleveland State,71.8,Midwest,15,94
mens,2021-03-14,0,1.0,0.018323272779,0.001298003901,0.000169009757,1.8983479e-05,1.718945e-06,1.60735e-07,1,1,42,Hartford,70.93,South,16,98
mens,2021-03-14,1,0.586391967021,0.0069176149,0.000979088304,9.8081261e-05,9.886157e-06,1.256647e-06,1.27806e-07,0,1,2026,Appalachian State,70.28,West,16b,3
mens,2021-03-14,1,0.505421492411,0.016069290103,0.001502305299,0.000148983734,1.4572141e-05,8.62436e-07,7.5677e-08,0,1,116,Mount St. Mary's,68.91,East,16a,34
mens,2021-03-14,1,0.494578507589,0.015464795122,0.001423735298,0.000139148667,1.3418653e-05,7.83076e-07,6.7798e-08,0,1,2640,Texas Southern,68.79,East,16b,35
mens,2021-03-14,1,0.413608032979,0.003707298721,0.000412222684,3.263809e-05,2.616794e-06,2.67671e-07,2.2026e-08,0,1,2450,Norfolk State,68.29,West,16a,2
womens,2021-03-14,0,1.0,0.99951309788,0.964211083963,0.900222636936,0.768834347877,0.541982110293,0.366351669449,1,1,24,Stanford,106.54,Alamo,1,0
womens,2021-03-14,0,1.0,0.998046719559,0.950359356778,0.865210122422,0.594989707712,0.472749932661,0.244070299327,1,1,41,Connecticut,104.27,River Walk,1,96
womens,2021-03-14,0,1.0,0.996644166494,0.891837047881,0.801598215096,0.499264739013,0.216296860141,0.117267676513,1,1,2579,South Carolina,101.83,Hemisfair,1,32
womens,2021-03-14,0,1.0,0.994415952451,0.903775382071,0.769314446283,0.335757317,0.238729524802,0.098469410596,1,1,239,Baylor,100.75,River Walk,2,124
womens,2021-03-14,0,1.0,0.996405120024,0.911363005807,0.645830538297,0.33425721613,0.128659052461,0.063207773969,1,1,120,Maryland,99.95,Hemisfair,2,60
womens,2021-03-14,0,1.0,0.990841842139,0.859407573859,0.590858155299,0.373550217188,0.12023457718,0.036389014683,1,1,152,North Carolina State,96.71,Mercado,1,64
womens,2021-03-14,0,1.0,0.979988850742,0.787537702894,0.52546745518,0.1244021502,0.048114712087,0.018316176852,1,1,97,Louisville,96.01,Alamo,2,28
womens,2021-03-14,0,1.0,0.977068919194,0.714494181952,0.408918462186,0.197496962969,0.050647357162,0.012291076384,1,1,12,Arizona,93.87,Mercado,3,84
womens,2021-03-14,0,1.0,0.970060881023,0.779646595713,0.294916881873,0.113690895912,0.031124586606,0.011398100079,1,1,26,UCLA,95.27,Hemisfair,3,52
womens,2021-03-14,0,1.0,0.958741687307,0.692100783812,0.376703247848,0.178332183689,0.044555453827,0.010543376674,1,1,245,Texas A&M,93.54,Mercado,2,92
womens,2021-03-14,0,1.0,0.946819350952,0.652947766039,0.270119478195,0.136370670387,0.031392658219,0.006861893595,1,1,84,Indiana,92.59,Mercado,4,76
womens,2021-03-14,0,1.0,0.796726029411,0.51136933427,0.233075711184,0.042452266605,0.013072345116,0.004042072097,1,1,2483,Oregon,92.67,Alamo,6,16
womens,2021-03-14,0,1.0,0.923577302637,0.584629134592,0.125701577884,0.022825591687,0.008877253043,0.001520592095,1,1,2633,Tennessee,89.82,River Walk,3,116
womens,2021-03-14,0,1.0,0.910836781922,0.568440008508,0.054637042274,0.02142121639,0.004914355577,0.001156794549,1,1,8,Arkansas,89.61,Alamo,4,12
womens,2021-03-14,0,1.0,0.941499530267,0.41276346876,0.145772261193,0.019268952778,0.004428804043,0.001044626142,1,1,61,Georgia,89.58,Alamo,3,20
womens,2021-03-14,0,1.0,0.862128948211,0.498582057507,0.061990032892,0.016204933908,0.00597955468,0.000960640874,1,1,96,Kentucky,88.96,River Walk,4,108
womens,2021-03-14,0,1.0,0.862988441135,0.322277901557,0.095428719739,0.035791027865,0.005605354062,0.00084627911,1,1,2250,Gonzaga,88.24,Mercado,5,72
womens,2021-03-14,0,1.0,0.7753737006,0.250851105555,0.101046845152,0.033383250785,0.005369753795,0.000833079491,1,1,164,Rutgers,88.28,Mercado,6,80
womens,2021-03-14,0,1.0,0.66735270788,0.227050699979,0.086714648254,0.028420893549,0.004533316743,0.000698411537,1,1,66,Iowa State,88.03,Mercado,7,88
womens,2021-03-14,0,1.0,0.840843086948,0.436129142048,0.049803923872,0.012175843918,0.004234221254,0.000632984214,1,1,2294,Iowa,88.15,River Walk,5,104
womens,2021-03-14,0,1.0,0.930434274455,0.556197915349,0.084244021696,0.018151908413,0.002497624084,0.000492871012,1,1,277,West Virginia,87.72,Hemisfair,4,44
