ID,RO64,RO32,S16,E8,F4,NCG,Total
0,200,100,120,160,160,0,740
1,180,100,80,80,160,0,600
2,230,60,40,0,0,0,330
3,200,120,80,80,0,0,480
4,190,120,120,80,0,0,510
5,240,80,120,240,320,320,1320
6,200,160,200,240,160,0,960
7,240,100,40,0,0,0,380
8,200,140,80,80,160,0,660
9,190,100,160,80,160,0,690
10,190,140,40,0,0,0,370
11,250,160,160,80,0,0,650
12,210,120,120,240,160,320,1170
13,200,120,120,80,160,0,680
14,210,160,120,80,0,0,570
15,210,100,80,80,0,0,470
16,190,160,160,160,160,0,830
17,210,180,240,160,160,0,950
18,190,100,80,160,160,0,690
19,200,160,160,160,0,0,680
20,190,120,80,160,160,320,1030
21,180,120,160,80,160,0,700
22,190,140,160,240,320,0,1050
23,190,120,160,160,0,0,630
24,200,160,200,160,0,0,720
25,210,160,40,0,0,0,410
26,160,80,120,240,160,0,760
27,160,160,160,160,160,0,800
28,190,100,80,0,0,0,370
29,210,120,80,0,0,0,410
30,200,140,160,160,320,0,980
31,160,120,120,160,160,0,720
32,220,180,200,240,320,320,1480
33,170,120,80,160,320,320,1170
34,190,160,80,0,0,0,430
35,210,80,80,160,0,0,530
36,230,140,160,240,160,0,930
37,200,120,160,80,0,0,560
38,170,140,160,80,160,0,710
39,180,120,40,80,160,0,580
40,210,120,120,240,160,0,850
41,220,80,40,80,160,0,580
42,180,120,120,160,320,0,900
43,210,120,120,160,160,0,770
44,240,140,120,160,320,320,1300
45,180,80,0,0,0,0,260
46,190,120,160,240,320,0,1030
47,190,140,120,160,320,320,1250
48,180,140,160,240,320,0,1040
49,180,100,120,240,320,0,960
50,180,120,80,80,0,0,460
51,180,120,0,0,0,0,300
52,210,160,160,160,160,0,850
53,200,120,120,160,320,0,920
54,200,120,80,80,160,0,640
55,180,120,120,160,160,0,740
56,180,60,0,0,0,0,240
57,230,100,120,240,320,0,1010
58,140,120,40,0,0,0,300
59,210,140,120,0,0,0,470
60,200,80,80,80,0,0,440
61,180,100,120,160,160,0,720
62,200,100,120,160,0,0,580
63,200,120,80,80,160,0,640
64,210,100,80,80,160,0,630
65,230,80,120,160,160,0,750
66,170,80,80,80,160,0,570
67,170,100,120,160,320,320,1190
68,170,100,40,80,160,0,550
69,200,160,160,240,160,0,920
70,210,200,240,160,160,0,970
71,150,100,160,240,160,0,810
72,160,40,80,160,320,0,760
73,220,100,0,0,0,0,320
74,200,160,40,80,160,320,960
75,180,120,40,0,0,0,340
76,170,80,120,160,160,0,690
77,190,120,80,160,160,0,710
78,250,160,200,160,320,0,1090
79,180,140,120,160,160,0,760
80,180,100,120,240,0,0,640
81,240,80,80,0,0,0,400
82,210,160,120,0,0,0,490
83,170,100,120,80,160,0,630
84,180,120,120,160,160,0,740
85,190,80,40,80,0,0,390
86,190,120,120,160,160,0,750
87,190,100,40,80,0,0,410
88,170,100,40,80,0,0,390
89,250,140,160,160,320,320,1350
90,220,120,80,80,160,320,980
91,180,100,80,160,160,0,680
92,170,120,160,160,160,0,770
93,210,120,40,80,0,0,450
94,210,160,200,160,160,320,1210
95,180,160,120,240,320,0,1020
96,200,140,120,160,160,0,780
97,210,160,120,160,160,0,810
98,180,160,120,160,160,0,780
99,230,160,80,80,0,0,550
100,230,100,80,160,320,0,890
101,200,100,80,80,0,0,460
102,200,120,80,0,0,0,400
103,180,140,80,80,160,0,640
104,180,140,200,240,320,0,1080
105,190,60,40,0,0,0,290
106,220,80,40,80,0,0,420
107,200,60,40,80,160,0,540
108,170,100,80,80,0,0,430
109,200,80,80,0,0,0,360
110,200,100,160,80,0,0,540
111,180,160,160,160,160,0,820
112,230,140,160,240,0,0,770
113,180,140,120,0,0,0,440
114,190,140,160,160,160,0,810
115,240,160,160,80,0,0,640
116,220,120,80,160,0,0,580
117,150,120,160,240,160,0,830
118,160,80,80,80,0,0,400
119,190,120,80,0,0,0,390
120,250,100,40,0,0,0,390
121,230,100,120,160,160,0,770
122,210,140,40,80,0,0,470
123,180,160,200,80,160,0,780
124,210,160,120,240,160,0,890
125,210,120,120,80,160,0,690
126,230,140,80,80,160,0,690
127,240,140,160,0,0,0,540
128,200,140,160,160,160,0,820
129,200,140,160,0,0,0,500
130,160,60,80,0,0,0,300
131,180,140,80,80,0,0,480
132,210,120,160,80,160,320,1050
133,170,120,160,160,160,0,770
134,180,80,40,0,0,0,300
135,190,100,40,80,160,0,570
136,160,120,80,160,0,0,520
137,180,100,40,0,0,0,320
138,180,140,160,80,0,0,560
139,190,120,120,160,160,0,750
140,190,140,80,80,160,0,650
141,230,160,160,80,160,0,790
142,170,60,80,160,160,0,630
143,210,100,40,0,0,0,350
144,210,140,160,80,0,0,590
145,190,140,160,160,320,320,1290
146,220,120,120,160,160,0,780
147,170,60,80,0,0,0,310
148,200,140,120,0,0,0,460
149,200,120,160,160,160,0,800
150,180,120,120,160,160,0,740
151,180,120,160,240,320,320,1340
152,230,120,120,80,0,0,550
153,230,160,160,80,0,0,630
154,240,140,160,80,160,0,780
155,200,60,120,160,0,0,540
156,190,120,80,80,0,0,470
157,170,120,160,80,160,0,690
158,180,80,40,0,0,0,300
159,190,100,80,160,160,0,690
160,210,120,120,80,160,0,690
161,210,120,80,80,160,0,650
162,210,80,120,160,160,0,730
163,170,120,160,80,160,0,690
164,170,80,120,240,320,0,930
165,190,180,160,80,160,0,770
166,170,140,200,240,320,0,1070
167,220,140,160,80,160,0,760
168,170,80,80,80,160,0,570
169,200,100,80,80,160,0,620
170,170,160,120,160,0,0,610
171,180,100,80,0,0,0,360
172,210,120,80,160,160,0,730
173,170,140,0,0,0,0,310
174,240,160,160,160,160,0,880
175,210,140,120,160,160,320,1110
176,170,140,40,0,0,0,350
177,170,80,80,80,160,0,570
178,210,60,80,80,160,0,590
179,180,100,120,160,160,0,720
180,140,100,200,80,160,0,680
181,180,100,40,80,0,0,400
182,220,160,160,160,320,320,1340
183,170,140,80,80,160,0,630
184,190,100,80,0,0,0,370
185,230,100,40,80,0,0,450
186,180,120,40,80,160,320,900
187,170,100,40,0,0,0,310
188,200,100,80,80,0,0,460
189,190,160,160,160,320,0,990
190,180,180,200,0,0,0,560
191,180,120,120,80,160,0,660
192,190,140,120,80,160,0,690
193,210,140,40,0,0,0,390
194,220,120,120,240,320,320,1340
195,220,140,160,240,320,0,1080
196,240,120,120,160,160,0,800
197,150,40,40,0,0,0,230
198,200,120,80,160,320,320,1200
199,230,120,160,160,160,0,830
200,210,120,40,80,160,0,610
201,190,140,160,160,0,0,650
202,240,160,120,80,0,0,600
203,220,100,80,0,0,0,400
204,200,80,80,80,0,0,440
205,200,160,120,160,320,0,960
206,240,140,120,80,160,0,740
207,170,80,120,160,320,320,1170
208,210,100,120,160,320,0,910
209,180,100,120,160,160,0,720
210,220,120,40,80,0,0,460
211,140,160,120,160,160,0,740
212,190,140,160,240,320,0,1050
213,200,120,120,160,160,320,1080
214,190,60,40,80,160,0,530
215,170,100,40,80,160,0,550
216,160,80,0,0,0,0,240
217,220,180,160,80,160,0,800
218,200,80,40,0,0,0,320
219,200,120,160,80,160,0,720
220,200,100,120,160,160,0,740
221,190,100,120,80,160,0,650
222,170,140,160,240,320,0,1030
223,220,140,160,160,0,0,680
224,190,120,160,0,0,0,470
225,190,140,120,160,160,0,770
226,170,100,40,0,0,0,310
227,190,120,120,80,0,0,510
228,190,140,80,80,0,0,490
229,140,100,80,80,160,0,560
230,240,160,80,80,160,0,720
231,210,120,80,80,160,0,650
232,210,200,160,160,0,0,730
233,180,160,200,160,320,0,1020
234,190,100,80,80,160,0,610
235,240,160,120,160,0,0,680
236,180,140,80,0,0,0,400
237,190,60,80,80,160,0,570
238,190,140,40,0,0,0,370
239,180,40,40,0,0,0,260
240,200,120,0,0,0,0,320
241,190,120,80,80,160,0,630
242,230,120,120,80,160,0,710
243,190,140,120,80,160,0,690
244,180,140,40,80,160,0,600
245,190,80,40,0,0,0,310
