Gonzaga,20.8,
Baylor,18.9,
Houston,17.8,
Illinois,17.6,
Iowa,17.2,
Michigan,16.7,
Villanova,14.7,
Texas Tech,14.4,
Alabama,14.3,
Ohio State,14.2,
Virginia,14.1,
Tennessee,13.9,
Creighton,13.6,
Arkansas,13.2,
UConn,12.9,
USC,12.9,
Colorado,12.8,
San Diego State,12.7,
Wisconsin,12.7,
Kansas,12.6,
Florida State,12.6,
Texas,12.6,
Loyola Chicago,12.6,
LSU,12.3,
North Carolina,12.2,
Purdue,12.0,
West Virginia,12.0,
St. Bonaventure,11.9,
BYU,11.3,
Oklahoma,11.2,
Duke,11.1,
Florida,10.7,
Syracuse,10.6,
Oregon,10.6,
Georgia Tech,10.1,
Oklahoma State,10.1,
Saint Louis,9.9,
Clemson,9.7,
Virginia Tech,9.7,
Memphis,9.6,
Ole Miss,9.5,
UCLA,9.5,
Maryland,9.3,
Colgate,9.3,
Rutgers,9.2,
Penn State,9.2,
Davidson,9.2,
Arizona,9.1,
Utah State,9.1,
Missouri,9.0,
Seton Hall,8.8,
NC State,8.8,
Indiana,8.7,
SMU,8.7,
VCU,8.5,
Boise State,8.5,
Kentucky,8.5,
Xavier,8.4,
Richmond,8.2,
Louisville,7.9,
UC Santa Barbara,7.7,
Drake,7.6,
Georgetown,7.5,
St. John's,7.5,
Wright State,7.4,
Providence,7.4,
Mississippi State,7.3,
North Texas,7.1,
Michigan State,7.1,
Auburn,7.0,
Toledo,6.8,
Utah,6.4,
Colorado State,6.4,
Grand Canyon,6.4,
Minnesota,6.4,
Liberty,6.4,
Louisiana Tech,6.4,
Marquette,6.2,
Dayton,6.2,
Northwestern,6.2,
Notre Dame,6.1,
Abilene Christian,6.1,
Stanford,6.0,
UAB,6.0,
Winthrop,5.9,
Marshall,5.9,
Oregon State,5.7,
Pittsburgh,5.6,
UNC Greensboro,5.5,
Belmont,5.4,
Buffalo,5.4,
Saint Mary's,5.3,
Western Kentucky,5.3,
Furman,5.1,
Rhode Island,5.0,
Wichita State,4.8,
Vermont,4.8,
Ohio,4.6,
UC Irvine,4.5,
Vanderbilt,4.5,
Loyola Marymount,4.4,
Georgia,4.2,
Eastern Washington,4.0,
South Dakota State,3.9,
Duquesne,3.8,
San Francisco,3.8,
Nevada,3.7,
UMass,3.6,
Arizona State,3.6,
UC Riverside,3.6,
Georgia State,3.5,
Pepperdine,3.5,
Wofford,3.5,
UCF,3.4,
Cincinnati,3.4,
Nebraska,3.2,
Weber State,3.2,
South Carolina,3.1,
Butler,3.1,
Washington State,3.0,
Missouri State,2.9,
Tulsa,2.8,
Kent State,2.5,
Akron,2.5,
Southern Utah,2.5,
Murray State,2.4,
Coastal Carolina,2.3,
UMBC,1.9,
Miami,1.8,
Drexel,1.8,
Texas A&M,1.7,
TCU,1.7,
CSU Bakersfield,1.7,
Bowling Green,1.6,
Mercer,1.6,
New Mexico State,1.5,
DePaul,1.5,
Iona,1.4,
Bradley,1.4,
Siena,1.4,
UNLV,1.3,
Temple,1.3,
Stephen F. Austin,1.2,
Florida Atlantic,1.1,
Navy,1.0,
Eastern Kentucky,1.0,
James Madison,0.9,
East Tennessee State,0.9,
Bryant,0.9,
California,0.8,
George Mason,0.7,
Sam Houston State,0.7,
Boston College,0.6,
Morehead State,0.5,
Oral Roberts,0.3,
Pacific,0.3,
Old Dominion,0.2,
Santa Clara,0.2,
