Gonzaga,32.95,
Arizona,27.24,
Kentucky,26.63,
Baylor,26.52,
Houston,26.51,
Kansas,25.63,
Tennessee,25.26,
UCLA,24.92,
Texas Tech,24.8,
Auburn,24.45,
Villanova,24.04,
Duke,23.79,
Iowa,23.59,
Purdue,22.39,
Texas,20.54,
Saint Mary's (CA),19.72,
Illinois,19.66,
Connecticut,19.27,
Louisiana State,19.1,
Arkansas,19.06,
San Francisco,18.32,
Virginia Tech,17.99,
San Diego State,17.87,
Loyola (IL),17.86,
Alabama,17.38,
Oklahoma,16.53,
Murray State,16.3,
Memphis,16.18,
Boise State,16.13,
North Carolina,16.11,
Ohio State,15.87,
Michigan,15.7,
Wisconsin,15.66,
Colorado State,15.53,
Indiana,15.33,
Wake Forest,15.18,
Texas Christian,15.03,
Oklahoma St.,15.03,
Michigan State,14.92,
Seton Hall,14.89,
Davidson,14.86,
Southern California,14.56,
Dayton,14.34,
Texas A&M,14.12,
BYU,14.12,
Iowa State,14.1,
Alabama-Birmingham,13.96,
Marquette,13.95,
Mississippi St.,13.93,
Providence,13.81,
Washington St.,13.75,
Notre Dame,13.71,
Creighton,13.4,
North Texas,13.39,
Florida,13.24,
SMU,13.2,
Utah St.,13.16,
Vermont,13.04,
Miami (FL),12.73,
St. John's,12.72,
Wyoming,12.52,
Vanderbilt,12.44,
Xavier,12.34,
VCU,12.2,
Kansas St.,12.14,
Missouri St.,11.9,
Saint Louis,11.47,
Fresno St.,11.41,
South Dakota State,11.41,
Chattanooga,11.32,
Santa Clara,11.25,
West Virginia,11.2,
Oregon,11.05,
Colorado,10.95,
Rutgers,10.92,
Furman,10.9,
Syracuse,10.62,
Clemson,10.49,
Towson,10.32,
Maryland,10.2,
St. Bonaventure,10.18,
New Mexico State,10.01,
Virginia,10.01,
Richmond,9.93,
Drake,9.84,
Belmont,9.68,
Northwestern,9.53,
Northern Iowa,9.5,
Penn St.,9.42,
UNLV,9.29,
Bradley,8.47,
Grand Canyon,8.33,
Arizona St.,8.27,
Iona,8.25,
Toledo,8.11,
Wichita St.,8.0,
South Carolina,7.57,
Tulane,7.51,
Louisiana Tech,7.46,
Middle Tennessee,7.11,
Cincinnati,7.0,
DePaul,6.65,
Stanford,6.42,
Mississippi,6.05,
UCF,5.97,
Princeton,5.86,
Washington,5.5,
Florida St.,5.43,
Minnesota,5.38,
Wofford,5.09,
Nevada,5.07,
Stephen F. Austin,4.88,
Western Kentucky,4.85,
George Mason,4.79,
Morehead St.,4.62,
Utah Valley,4.58,
Saint Peter's,4.29,
Temple,4.28,
Colgate,4.2,
Southern Illinois,4.13,
Utah,4.04,
Liberty,4.0,
Florida Atlantic,3.86,
Montana State,3.77,
Ohio,3.63,
Butler,3.63,
Abilene Christian,3.59,
Boston College,3.55,
UC Irvine,3.47,
UC Santa Barbara,3.41,
Buffalo,3.4,
Texas St.,3.31,
Hofstra,3.3,
Akron,3.22,
Rhode Island,3.15,
Seattle,3.11,
Missouri,3.04,
Nebraska,3.01,
California,2.69,
Longwood,2.68,
N.C. State,2.67,
Louisville,2.67,
Sam Houston St.,2.58,
Jacksonville State,2.33,
Delaware,2.23,
Yale,2.18,
North Dakota St.,2.09,
South Alabama,2.02,
Cal State Fullerton,1.91,
Georgia State,1.66,
Kent St.,1.54,
Wagner,1.51,
Charleston,1.5,
Long Beach St.,1.17,
New Mexico,1.16,
Coastal Carolina,1.13,
Drexel,0.89,
Oral Roberts,0.82,
Winthrop,0.65,
VMI,0.55,
Saint Joseph's,0.49,
Jacksonville,0.44,
Hawaii,0.4,
Georgia Tech,0.29,
UTEP,0.29,
Monmouth,0.27,
Appalachian St.,0.25,
Norfolk State,0.05,
Gardner Webb,-0.0,
Southern Utah,-0.08,
UC Riverside,-0.23,
Tulsa,-0.3,
Weber St.,-0.3,
UNC Greensboro,-0.32,
Wright State,-0.34,
Portland,-0.43,
Fordham,-0.59,
Georgetown,-0.6,
UNC Wilmington,-0.66,
Arkansas St.,-0.88,
Louisiana,-0.89,
Troy,-0.92,
Texas Southern,-0.92,
Samford,-0.99,
East Carolina,-1.06,
Illinois St.,-1.12,
East Tennessee St.,-1.18,
Oakland,-1.27,
Massachusetts,-1.29,
Navy,-1.37,
Bryant,-1.53,
Mercer,-1.76,
Old Dominion,-1.77,
Cornell,-1.8,
Cleveland St.,-1.93,
Northern Kentucky,-1.95,
Valparaiso,-2.24,
Bellarmine,-2.27,
Niagara,-2.28,
Loyola Marymount,-2.3,
Florida Gulf Coast,-2.44,
Dartmouth,-2.52,
South Dakota,-2.52,
Nicholls St.,-2.54,
Charlotte,-2.62,
Pittsburgh,-2.73,
Brown,-2.99,
UMKC,-3.03,
Tarleton St.,-3.15,
Boston University,-3.39,
Penn,-3.48,
Northern Colorado,-3.53,
Southern,-3.53,
Marist,-3.61,
Campbell,-3.73,
Fairfield,-3.78,
UC Davis,-3.88,
Eastern Washington,-3.93,
UT Arlington,-3.96,
UNC Asheville,-3.98,
Georgia,-4.01,
Kennesaw St.,-4.22,
Cal Baptist,-4.26,
Rice,-4.28,
Indiana St.,-4.37,
George Washington,-4.46,
San Diego,-4.52,
La Salle,-4.78,
Harvard,-4.86,
Purdue Fort Wayne,-5.06,
Oregon St.,-5.15,
Rider,-5.18,
James Madison,-5.27,
Howard,-5.5,
Detroit Mercy,-5.51,
Western Illinois,-5.54,
Marshall,-5.7,
LIU,-5.73,
Quinnipiac,-5.84,
Southeast Missouri St.,-6.07,
The Citadel,-6.08,
UMBC,-6.17,
Texas A&M-Corpus Christi,-6.33,
High Point,-6.41,
Montana,-6.47,
Siena,-6.54,
New Hampshire,-6.55,
Mount St. Mary's,-6.68,
UMass Lowell,-6.86,
South Florida,-6.91,
Stony Brook,-7.06,
Georgia Southern,-7.18,
